sample_id,sample_date,chemical,chem_conc,rolling_avg
Q1,1988-01-12,k,0.77,NA
Q1,1988-01-12,mg,2.61,NA
Q1,1988-01-12,ca,4.08,NA
Q1,1988-01-12,nh4_n,18,NA
Q1,1988-01-12,no3_n,134,NA
Q1,1988-01-19,k,0.75,NA
Q1,1988-01-19,mg,2.67,NA
Q1,1988-01-19,ca,4.16,NA
Q1,1988-01-19,nh4_n,21,NA
Q1,1988-01-19,no3_n,125,NA
Q1,1988-01-26,k,0.74,NA
Q1,1988-01-26,mg,2.85,NA
Q1,1988-01-26,ca,4.41,NA
Q1,1988-01-26,nh4_n,14,NA
Q1,1988-01-26,no3_n,123,NA
Q1,1988-01-29,k,0.86,NA
Q1,1988-01-29,mg,1.48,NA
Q1,1988-01-29,ca,2.4,NA
Q1,1988-01-29,nh4_n,21,NA
Q1,1988-01-29,no3_n,77,NA
Q1,1988-01-29,k,0.83,NA
Q1,1988-01-29,mg,1.35,NA
Q1,1988-01-29,ca,2.06,NA
Q1,1988-01-29,nh4_n,31,NA
Q1,1988-01-29,no3_n,81,NA
Q1,1988-01-29,k,0.91,NA
Q1,1988-01-29,mg,1.64,NA
Q1,1988-01-29,ca,2.65,NA
Q1,1988-01-29,nh4_n,27,NA
Q1,1988-01-29,no3_n,281,NA
Q1,1988-01-29,k,0.84,NA
Q1,1988-01-29,mg,1.41,NA
Q1,1988-01-29,ca,2.63,NA
Q1,1988-01-29,nh4_n,24,NA
Q1,1988-01-29,no3_n,267,NA
Q1,1988-01-29,k,0.86,NA
Q1,1988-01-29,mg,1.59,NA
Q1,1988-01-29,ca,2.67,NA
Q1,1988-01-29,nh4_n,21,NA
Q1,1988-01-29,no3_n,242,NA
Q1,1988-02-02,k,0.76,NA
Q1,1988-02-02,mg,1.71,NA
Q1,1988-02-02,ca,2.78,NA
Q1,1988-02-02,nh4_n,80,NA
Q1,1988-02-02,no3_n,138,NA
Q1,1988-02-02,k,0.79,NA
Q1,1988-02-02,mg,1.62,NA
Q1,1988-02-02,ca,2.57,NA
Q1,1988-02-02,nh4_n,17,NA
Q1,1988-02-02,no3_n,168,NA
Q1,1988-02-03,k,NA,NA
Q1,1988-02-03,mg,NA,NA
Q1,1988-02-03,ca,NA,NA
Q1,1988-02-03,nh4_n,NA,NA
Q1,1988-02-03,no3_n,NA,NA
Q1,1988-02-04,k,NA,NA
Q1,1988-02-04,mg,NA,NA
Q1,1988-02-04,ca,NA,NA
Q1,1988-02-04,nh4_n,NA,NA
Q1,1988-02-04,no3_n,NA,NA
Q1,1988-02-09,k,0.8,NA
Q1,1988-02-09,mg,2.73,NA
Q1,1988-02-09,ca,4.09,NA
Q1,1988-02-09,nh4_n,54,NA
Q1,1988-02-09,no3_n,149,NA
Q1,1988-02-10,k,NA,NA
Q1,1988-02-10,mg,NA,NA
Q1,1988-02-10,ca,NA,NA
Q1,1988-02-10,nh4_n,NA,NA
Q1,1988-02-10,no3_n,NA,NA
Q1,1988-02-16,k,0.77,NA
Q1,1988-02-16,mg,2.67,NA
Q1,1988-02-16,ca,4.04,NA
Q1,1988-02-16,nh4_n,20,NA
Q1,1988-02-16,no3_n,113,NA
Q1,1988-02-23,k,0.85,NA
Q1,1988-02-23,mg,2.94,NA
Q1,1988-02-23,ca,4.39,NA
Q1,1988-02-23,nh4_n,28,NA
Q1,1988-02-23,no3_n,152,NA
Q1,1988-03-01,k,0.81,NA
Q1,1988-03-01,mg,2.96,NA
Q1,1988-03-01,ca,4.31,NA
Q1,1988-03-01,nh4_n,18,NA
Q1,1988-03-01,no3_n,144,NA
Q1,1988-03-08,k,0.5,NA
Q1,1988-03-08,mg,2.12,NA
Q1,1988-03-08,ca,3.89,NA
Q1,1988-03-08,nh4_n,25,NA
Q1,1988-03-08,no3_n,144,NA
Q1,1988-03-15,k,0.7,NA
Q1,1988-03-15,mg,2.72,NA
Q1,1988-03-15,ca,4.02,NA
Q1,1988-03-15,nh4_n,34,NA
Q1,1988-03-15,no3_n,148,NA
Q1,1988-03-23,k,0.73,NA
Q1,1988-03-23,mg,2.76,NA
Q1,1988-03-23,ca,4.05,NA
Q1,1988-03-23,nh4_n,13,NA
Q1,1988-03-23,no3_n,144,NA
Q1,1988-03-29,k,0.97,NA
Q1,1988-03-29,mg,1.48,NA
Q1,1988-03-29,ca,3.16,NA
Q1,1988-03-29,nh4_n,8,NA
Q1,1988-03-29,no3_n,291,NA
Q1,1988-03-29,k,1.13,NA
Q1,1988-03-29,mg,1.47,NA
Q1,1988-03-29,ca,3.22,NA
Q1,1988-03-29,nh4_n,7,NA
Q1,1988-03-29,no3_n,283,NA
Q1,1988-03-29,k,0.86,NA
Q1,1988-03-29,mg,1.7,NA
Q1,1988-03-29,ca,2.72,NA
Q1,1988-03-29,nh4_n,10,NA
Q1,1988-03-29,no3_n,239,NA
Q1,1988-03-29,k,1.07,NA
Q1,1988-03-29,mg,1.09,NA
Q1,1988-03-29,ca,1.31,NA
Q1,1988-03-29,nh4_n,20,NA
Q1,1988-03-29,no3_n,291,NA
Q1,1988-03-29,k,1.07,NA
Q1,1988-03-29,mg,1.11,NA
Q1,1988-03-29,ca,1.29,NA
Q1,1988-03-29,nh4_n,8,NA
Q1,1988-03-29,no3_n,300,NA
Q1,1988-03-29,k,1.17,NA
Q1,1988-03-29,mg,1.49,NA
Q1,1988-03-29,ca,3.7,NA
Q1,1988-03-29,nh4_n,13,NA
Q1,1988-03-29,no3_n,261,NA
Q1,1988-03-29,k,1.11,NA
Q1,1988-03-29,mg,1.16,NA
Q1,1988-03-29,ca,1.38,NA
Q1,1988-03-29,nh4_n,31,NA
Q1,1988-03-29,no3_n,265,NA
Q1,1988-03-29,k,1.06,NA
Q1,1988-03-29,mg,1.19,NA
Q1,1988-03-29,ca,1.34,NA
Q1,1988-03-29,nh4_n,16,NA
Q1,1988-03-29,no3_n,252,NA
Q1,1988-04-05,k,0.82,NA
Q1,1988-04-05,mg,2.31,NA
Q1,1988-04-05,ca,2.75,NA
Q1,1988-04-05,nh4_n,26,NA
Q1,1988-04-05,no3_n,135,NA
Q1,1988-04-12,k,0.71,NA
Q1,1988-04-12,mg,2.77,NA
Q1,1988-04-12,ca,4.22,NA
Q1,1988-04-12,nh4_n,34,NA
Q1,1988-04-12,no3_n,141,NA
Q1,1988-04-19,k,0.85,NA
Q1,1988-04-19,mg,2.57,NA
Q1,1988-04-19,ca,3.82,NA
Q1,1988-04-19,nh4_n,16,NA
Q1,1988-04-19,no3_n,150,NA
Q1,1988-04-26,k,0.74,NA
Q1,1988-04-26,mg,2.87,NA
Q1,1988-04-26,ca,4.3,NA
Q1,1988-04-26,nh4_n,28,NA
Q1,1988-04-26,no3_n,142,NA
Q1,1988-05-03,k,0.75,NA
Q1,1988-05-03,mg,2.82,NA
Q1,1988-05-03,ca,4.18,NA
Q1,1988-05-03,nh4_n,65,NA
Q1,1988-05-03,no3_n,139,NA
Q1,1988-05-10,k,1.19,NA
Q1,1988-05-10,mg,2.24,NA
Q1,1988-05-10,ca,3.6,NA
Q1,1988-05-10,nh4_n,69,NA
Q1,1988-05-10,no3_n,142,NA
Q1,1988-05-10,k,NA,NA
Q1,1988-05-10,mg,NA,NA
Q1,1988-05-10,ca,NA,NA
Q1,1988-05-10,nh4_n,NA,NA
Q1,1988-05-10,no3_n,NA,NA
Q1,1988-05-10,k,NA,NA
Q1,1988-05-10,mg,NA,NA
Q1,1988-05-10,ca,NA,NA
Q1,1988-05-10,nh4_n,NA,NA
Q1,1988-05-10,no3_n,NA,NA
Q1,1988-05-10,k,NA,NA
Q1,1988-05-10,mg,NA,NA
Q1,1988-05-10,ca,NA,NA
Q1,1988-05-10,nh4_n,NA,NA
Q1,1988-05-10,no3_n,NA,NA
Q1,1988-05-10,k,1.2,NA
Q1,1988-05-10,mg,1.44,NA
Q1,1988-05-10,ca,2.58,NA
Q1,1988-05-10,nh4_n,10,NA
Q1,1988-05-10,no3_n,203,NA
Q1,1988-05-17,k,NA,NA
Q1,1988-05-17,mg,1.12,NA
Q1,1988-05-17,ca,1.12,NA
Q1,1988-05-17,nh4_n,237,NA
Q1,1988-05-17,no3_n,148,NA
Q1,1988-05-24,k,0.75,NA
Q1,1988-05-24,mg,1.2,NA
Q1,1988-05-24,ca,1.34,NA
Q1,1988-05-24,nh4_n,63,NA
Q1,1988-05-24,no3_n,149,NA
Q1,1988-05-31,k,0.9,NA
Q1,1988-05-31,mg,2.57,NA
Q1,1988-05-31,ca,3.16,NA
Q1,1988-05-31,nh4_n,61,NA
Q1,1988-05-31,no3_n,156,NA
Q1,1988-06-07,k,0.8,NA
Q1,1988-06-07,mg,2.91,NA
Q1,1988-06-07,ca,3.58,NA
Q1,1988-06-07,nh4_n,59,NA
Q1,1988-06-07,no3_n,147,NA
Q1,1988-06-14,k,0.79,NA
Q1,1988-06-14,mg,2.85,NA
