sample_id,sample_date,chemical,chem_conc
Q1,1989-01-31,mg,2.87
Q1,1989-01-31,ca,4.48
Q1,1989-01-31,nh4_n,NA
Q1,1989-01-31,no3_n,171
Q1,1989-02-07,k,0.95
Q1,1989-02-07,mg,2.78
Q1,1989-02-07,ca,4.5
Q1,1989-02-07,nh4_n,NA
Q1,1989-02-07,no3_n,176
Q1,1989-02-14,k,0.78
Q1,1989-02-14,mg,2.94
Q1,1989-02-14,ca,4.32
Q1,1989-02-14,nh4_n,NA
Q1,1989-02-14,no3_n,179
Q1,1989-02-21,k,0.85
Q1,1989-02-21,mg,2.77
Q1,1989-02-21,ca,4.18
Q1,1989-02-21,nh4_n,NA
Q1,1989-02-21,no3_n,159
Q1,1989-02-28,k,0.94
Q1,1989-02-28,mg,2.64
Q1,1989-02-28,ca,3.94
Q1,1989-02-28,nh4_n,NA
Q1,1989-02-28,no3_n,159
Q1,1989-03-07,k,0.83
Q1,1989-03-07,mg,2.91
Q1,1989-03-07,ca,4.29
Q1,1989-03-07,nh4_n,NA
Q1,1989-03-07,no3_n,152
Q1,1989-03-09,k,NA
Q1,1989-03-09,mg,NA
Q1,1989-03-09,ca,NA
Q1,1989-03-09,nh4_n,NA
Q1,1989-03-09,no3_n,NA
Q1,1989-03-14,k,NA
Q1,1989-03-14,mg,NA
Q1,1989-03-14,ca,NA
Q1,1989-03-14,nh4_n,NA
Q1,1989-03-14,no3_n,10
Q1,1989-03-14,k,0.89
Q1,1989-03-14,mg,2.62
Q1,1989-03-14,ca,4.1
Q1,1989-03-14,nh4_n,NA
Q1,1989-03-14,no3_n,NA
Q1,1989-03-21,k,0.79
Q1,1989-03-21,mg,2.88
Q1,1989-03-21,ca,4.05
Q1,1989-03-21,nh4_n,NA
Q1,1989-03-21,no3_n,148
Q1,1989-03-28,k,0.79
Q1,1989-03-28,mg,2.82
Q1,1989-03-28,ca,3.98
Q1,1989-03-28,nh4_n,NA
Q1,1989-03-28,no3_n,147
Q1,1989-04-04,k,0.82
Q1,1989-04-04,mg,2.76
Q1,1989-04-04,ca,3.51
Q1,1989-04-04,nh4_n,NA
Q1,1989-04-04,no3_n,146
Q1,1989-04-11,k,0.84
Q1,1989-04-11,mg,2.38
Q1,1989-04-11,ca,4.29
Q1,1989-04-11,nh4_n,NA
Q1,1989-04-11,no3_n,143
